Date,Price,Inventory
2022/3/23,32355,73242
2022/3/22,30800,73578
2022/3/21,31580,73632
2022/3/18,37115,74358
2022/3/17,42150,74274
2022/3/16,45795,74688
2022/3/15,48196,74988
2022/3/14,48211,75318
2022/3/11,48226,75702
2022/3/10,48241,74238
2022/3/9,48211,74778
2022/3/8,48201,75012
2022/3/7,42995,76830
2022/3/4,29800,77082
2022/3/3,28800,77784
2022/3/2,27000,78162
2022/3/1,25450,79524
2022/2/28,25240,80094
2022/2/25,24700,80088
2022/2/24,26105,81132
2022/2/23,24950,81300
2022/2/22,25650,82314
2022/2/21,24870,83274
2022/2/18,24500,83328
2022/2/17,24150,83736
2022/2/16,23905,83820
2022/2/15,23950,84474
2022/2/14,23650,84894
2022/2/11,23705,84486
2022/2/10,24055,84720
2022/2/9,23550,85644
2022/2/8,23530,85890
2022/2/7,23650,87012
2022/2/4,23475,87504
2022/2/3,23225,88182
2022/2/2,23400,88608
2022/2/1,22750,89364
2022/1/31,22750,90600
2022/1/28,22750,91716
2022/1/27,22860,92034
2022/1/26,23425,92574
2022/1/25,22535,92688
2022/1/24,23500,93102
2022/1/21,24000,93480
2022/1/20,23900,94830
2022/1/19,22795,94830
2022/1/18,22740,94872
2022/1/17,22475,97038
2022/1/14,22850,97746
2022/1/13,22130,98364
2022/1/12,22200,99462
2022/1/11,21680,99744
2022/1/10,21045,99954
2022/1/7,20725,100248
2022/1/6,20480,100494
2022/1/5,20900,101136
2022/1/4,20730,101256
2021/12/31,20925,101886
2021/12/30,20700,103020
2021/12/29,20320,103656
2021/12/24,20295,103848
2021/12/23,20180,104160
2021/12/22,19985,104310
2021/12/21,19750,104520
2021/12/20,19370,105390
2021/12/17,19840,106128
2021/12/16,19585,106296
2021/12/15,19330,106998
2021/12/14,19750,107754
2021/12/13,19905,108276
2021/12/10,19960,108630
2021/12/9,19975,108918
2021/12/8,20430,109986
2021/12/7,20305,110358
2021/12/6,19980,110688
2021/12/3,20290,112590
2021/12/2,20190,113640
2021/12/1,20410,114114
2021/11/30,20190,114360
2021/11/29,20350,115296
2021/11/26,20235,115446
2021/11/25,21075,116712
2021/11/24,21135,117348
2021/11/23,20590,118164
2021/11/22,20270,121218
2021/11/19,19980,123444
2021/11/18,19295,124866
2021/11/17,19575,126090
2021/11/16,19675,127818
2021/11/15,19950,129570
2021/11/12,19950,130278
2021/11/11,19850,132534
2021/11/10,19635,133002
2021/11/9,19720,134172
2021/11/8,19625,135852
2021/11/5,19270,137196
